year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,160,852,84.19
2003,1088,187,901,82.81
2004,1087,188,899,82.7
2005,1038,165,873,84.1
2006,1069,165,904,84.57
2007,1058,132,926,87.52
2008,1061,132,929,87.56
2009,1094,137,957,87.48
2010,1050,115,935,89.05
2011,1057,105,952,90.07
2012,1059,98,961,90.75
2013,1042,84,958,91.94
2014,1014,76,938,92.5
2015,1011,66,945,93.47
2016,1076,60,1016,94.42
2017,1043,43,1000,95.88
2018,1090,39,1051,96.42
2019,1038,41,997,96.05
2020,967,19,948,98.04
